"","Dataset","Title","Beg","treatyID"
"369","LABPTA","Estonia Hungary","1998-01-01","EST-HUN[NA]_1998O"
"370","LABPTA","Faroe Islands Poland","1998-01-01","FRO-POL[NA]_1998O"
"371","LABPTA","Hungary Lithuania","1998-01-01","HUN-LTU[NA]_1998O"
"372","LABPTA","India Sri Lanka","1998-01-01","IND-LKA[NA]_1998O"
"373","LABPTA","Israel Slovenia","1998-01-01","ISR-SVN[NA]_1998O"
"374","LABPTA","Jordan Morocco","1998-01-01","JOR-MAR[NA]_1998O"
"375","LABPTA","Jordan Tunisia","1998-01-01","JOR-TUN[NA]_1998O"
"376","LABPTA","Latvia Turkey","1998-01-01","LVA-TUR[NA]_1998O"
"377","LABPTA","Slovenia Turkey","1998-01-01","SVN-TUR[NA]_1998O"
"378","LABPTA","Latvia Ukraine Agriculture","1998-01-01","LVA-UKR[UKA]_1998O"
"379","LABPTA","Andean Community Brazil","1999-01-01","ANDNCB_1999O"
"380","LABPTA","Argentina Cuba","1999-01-01","ARG-CUB[NA]_1999O"
"381","LABPTA","Armenia Kazakhstan","1999-01-01","ARM-KAZ[NA]_1999O"
"382","LABPTA","Brazil Cuba","1999-01-01","BRA-CUB[NA]_1999O"
"383","LABPTA","Bulgaria Macedonia","1999-01-01","BGR-MKD[MCD]_1999O"
"384","LABPTA","Central America Chile","1999-01-01","CNTRAC_1999O"
"385","LABPTA","Cuba Guatemala","1999-01-01","CUB-GTM[NA]_1999O"
"386","LABPTA","Cuba Uruguay","1999-01-01","CUB-URY[NA]_1999O"
"387","LABPTA","Cuba Venezuela","1999-01-01","CUB-VEN[VNZ]_1999O"
"388","LABPTA","EC South Africa","1999-01-01","ECSTHA_1999O"
"389","LABPTA","Eurasian Economic Community (EAEC)","1999-01-01","ERSNEC_1999O"
"390","LABPTA","Hungary Latvia","1999-01-01","HUN-LVA[NA]_1999O"
"391","LABPTA","Macedonia Turkey","1999-01-01","MKD-TUR[MCD]_1999O"
"392","LABPTA","Morocco Tunisia","1999-01-01","MAR-TUN[NA]_1999O"
"393","LABPTA","Poland Turkey","1999-01-01","POL-TUR[NA]_1999O"
"394","LABPTA","Andean Community Auto Agreement","1999-01-01","ANDNCA_1999A"
"395","LABPTA","Chile Cuba","1999-01-01","CHL-CUB[NA]_1999O"
"396","LABPTA","East African Community (EAC)","1999-01-01","ESTAFC_1999O"
"397","LABPTA","EC Switzerland Bilaterals 1","1999-01-01","ECSWTB_1999O1"
"398","TOTA","Georgia Ukraine","1995-01-09","GEO-UKR[UKR]_1995O"
"399","TOTA","Russian Federation Belarus Kazakhstan","1995-01-20","RSSFBK_1995O"
"400","TOTA","EU Turkey","1995-03-06","EUE-TUR[NA]_1995O"
"401","TOTA","Kyrgyz Republic Moldova","1995-05-16","KGZ-MDA[KYM]_1995O"
"402","TOTA","Estonia Ukraine","1995-05-24","EST-UKR[UKR]_1995O"
"403","TOTA","Kyrgyz Republic Ukraine","1995-05-26","KGZ-UKR[KYU]_1995O"
